Geography Name,Geography Type,Year,Hour of Day,Avg. Demand (kW)
880c62a9dbfffff,H3,2028,7,1.4
880c62a9dbfffff,H3,2028,8,1.1
880c62a9dbfffff,H3,2028,9,1.1
880c62a9dbfffff,H3,2028,10,1.2
880c62a9dbfffff,H3,2028,11,1.4
880c62a9dbfffff,H3,2028,12,1.7
880c62a9dbfffff,H3,2028,13,1.8
880c62a9dbfffff,H3,2028,14,2.0
880c62a9dbfffff,H3,2028,15,2.4
880c62a9dbfffff,H3,2028,16,3.1
880c62a9dbfffff,H3,2028,17,3.9
880c62a9dbfffff,H3,2028,18,4.4
880c62a9dbfffff,H3,2028,19,4.7
880c62a9dbfffff,H3,2028,20,4.8
880c62a9dbfffff,H3,2028,21,4.5
880c62a9dbfffff,H3,2028,22,4.2
880c62a9dbfffff,H3,2028,23,3.6
880c6418e9fffff,H3,2028,0,2.8
880c6418e9fffff,H3,2028,1,2.4
880c6418e9fffff,H3,2028,2,2.2
880c6418e9fffff,H3,2028,3,1.8
880c6418e9fffff,H3,2028,4,1.6
880c6418e9fffff,H3,2028,5,1.5
880c6418e9fffff,H3,2028,6,1.2
880c6418e9fffff,H3,2028,7,1.0
880c6418e9fffff,H3,2028,8,0.9
880c6418e9fffff,H3,2028,9,0.9
880c6418e9fffff,H3,2028,10,0.9
880c6418e9fffff,H3,2028,11,1.1
880c6418e9fffff,H3,2028,12,1.2
880c6418e9fffff,H3,2028,13,1.5
880c6418e9fffff,H3,2028,14,1.6
880c6418e9fffff,H3,2028,15,1.8
880c6418e9fffff,H3,2028,16,2.3
880c6418e9fffff,H3,2028,17,3.0
880c6418e9fffff,H3,2028,18,3.4
880c6418e9fffff,H3,2028,19,3.6
880c6418e9fffff,H3,2028,20,3.8
880c6418e9fffff,H3,2028,21,3.8
880c6418e9fffff,H3,2028,22,3.5
880c6418e9fffff,H3,2028,23,3.3
880c64519dfffff,H3,2028,0,2.5
880c64519dfffff,H3,2028,1,2.2
880c64519dfffff,H3,2028,2,1.9
880c64519dfffff,H3,2028,3,1.7
880c64519dfffff,H3,2028,4,1.6
880c64519dfffff,H3,2028,5,1.4
880c64519dfffff,H3,2028,6,1.2
880c64519dfffff,H3,2028,7,1.0
880c64519dfffff,H3,2028,8,0.9
880c64519dfffff,H3,2028,9,0.8
880c64519dfffff,H3,2028,10,0.9
880c64519dfffff,H3,2028,11,1.0
880c64519dfffff,H3,2028,12,1.2
880c64519dfffff,H3,2028,13,1.4
880c64519dfffff,H3,2028,14,1.5
880c64519dfffff,H3,2028,15,1.8
880c64519dfffff,H3,2028,16,2.3
880c64519dfffff,H3,2028,17,3.0
880c64519dfffff,H3,2028,18,3.4
880c64519dfffff,H3,2028,19,3.6
880c64519dfffff,H3,2028,20,3.8
880c64519dfffff,H3,2028,21,3.6
880c64519dfffff,H3,2028,22,3.4
880c64519dfffff,H3,2028,23,3.0
880c73310bfffff,H3,2028,0,21.6
880c73310bfffff,H3,2028,1,18.6
880c73310bfffff,H3,2028,2,16.0
880c73310bfffff,H3,2028,3,13.5
880c73310bfffff,H3,2028,4,11.2
880c73310bfffff,H3,2028,5,9.5
880c73310bfffff,H3,2028,6,8.4
880c73310bfffff,H3,2028,7,7.0
880c73310bfffff,H3,2028,8,6.4
880c73310bfffff,H3,2028,9,6.2
880c73310bfffff,H3,2028,10,6.9
880c73310bfffff,H3,2028,11,8.0
880c73310bfffff,H3,2028,12,9.4
880c73310bfffff,H3,2028,13,10.8
880c73310bfffff,H3,2028,14,11.5
880c73310bfffff,H3,2028,15,13.2
880c73310bfffff,H3,2028,16,15.6
880c73310bfffff,H3,2028,17,19.3
880c73310bfffff,H3,2028,18,21.8
880c73310bfffff,H3,2028,19,22.8
880c73310bfffff,H3,2028,20,24.3
880c73310bfffff,H3,2028,21,25.2
880c73310bfffff,H3,2028,22,25.2
880c73310bfffff,H3,2028,23,24.2
880c73313bfffff,H3,2028,0,1.2
880c73313bfffff,H3,2028,1,1.1
880c73313bfffff,H3,2028,2,0.9
880c73313bfffff,H3,2028,3,0.9
880c73313bfffff,H3,2028,4,0.8
880c73313bfffff,H3,2028,5,0.7
880c73313bfffff,H3,2028,6,0.7
880c73313bfffff,H3,2028,7,0.5
880c73313bfffff,H3,2028,8,0.5
880c73313bfffff,H3,2028,9,0.5
880c73313bfffff,H3,2028,10,0.5
880c73313bfffff,H3,2028,11,0.5
880c73313bfffff,H3,2028,12,0.6
880c73313bfffff,H3,2028,13,0.7
880c73313bfffff,H3,2028,14,0.7
880c73313bfffff,H3,2028,15,0.9
880c73313bfffff,H3,2028,16,1.0
880c73313bfffff,H3,2028,17,1.4
880c73313bfffff,H3,2028,18,1.6
880c73313bfffff,H3,2028,19,1.7
880c73313bfffff,H3,2028,20,1.8
880c73313bfffff,H3,2028,21,1.8
880c73313bfffff,H3,2028,22,1.6
880c73313bfffff,H3,2028,23,1.5
880c733159fffff,H3,2028,0,1.6
880c733159fffff,H3,2028,1,1.4
880c733159fffff,H3,2028,2,1.2
880c733159fffff,H3,2028,3,1.0
880c733159fffff,H3,2028,4,0.9
880c733159fffff,H3,2028,5,0.9
