Geography Name,Geography Type,Year,Hour of Day,Avg. Demand (kW)
880c73310bfffff,H3,2024,0,1.9
880c73310bfffff,H3,2024,1,1.7
880c73310bfffff,H3,2024,2,1.5
880c73310bfffff,H3,2024,3,1.4
880c73310bfffff,H3,2024,4,1.2
880c73310bfffff,H3,2024,5,1.1
880c73310bfffff,H3,2024,6,1.0
880c73310bfffff,H3,2024,7,0.9
880c73310bfffff,H3,2024,8,0.8
880c73310bfffff,H3,2024,9,0.8
880c73310bfffff,H3,2024,10,0.8
880c73310bfffff,H3,2024,11,0.9
880c73310bfffff,H3,2024,12,1.0
880c73310bfffff,H3,2024,13,1.2
880c73310bfffff,H3,2024,14,1.4
880c73310bfffff,H3,2024,15,1.6
880c73310bfffff,H3,2024,16,1.9
880c73310bfffff,H3,2024,17,2.4
880c73310bfffff,H3,2024,18,2.8
880c73310bfffff,H3,2024,19,3.0
880c73310bfffff,H3,2024,20,3.1
880c73310bfffff,H3,2024,21,3.0
880c73310bfffff,H3,2024,22,2.7
880c73310bfffff,H3,2024,23,2.4
880c733855fffff,H3,2024,0,10.8
880c733855fffff,H3,2024,1,9.4
880c733855fffff,H3,2024,2,8.3
880c733855fffff,H3,2024,3,7.4
880c733855fffff,H3,2024,4,6.7
880c733855fffff,H3,2024,5,6.1
880c733855fffff,H3,2024,6,5.5
880c733855fffff,H3,2024,7,4.3
880c733855fffff,H3,2024,8,3.6
880c733855fffff,H3,2024,9,3.5
880c733855fffff,H3,2024,10,3.8
880c733855fffff,H3,2024,11,4.3
880c733855fffff,H3,2024,12,5.0
880c733855fffff,H3,2024,13,5.6
880c733855fffff,H3,2024,14,6.2
880c733855fffff,H3,2024,15,7.3
880c733855fffff,H3,2024,16,9.1
880c733855fffff,H3,2024,17,11.9
880c733855fffff,H3,2024,18,14.0
880c733855fffff,H3,2024,19,15.0
880c733855fffff,H3,2024,20,15.7
880c733855fffff,H3,2024,21,15.3
880c733855fffff,H3,2024,22,14.3
880c733855fffff,H3,2024,23,12.7
880c7339d7fffff,H3,2024,0,1.2
880c7339d7fffff,H3,2024,1,1.0
880c7339d7fffff,H3,2024,2,0.9
880c7339d7fffff,H3,2024,3,0.8
880c7339d7fffff,H3,2024,4,0.8
880c7339d7fffff,H3,2024,5,0.7
880c7339d7fffff,H3,2024,6,0.6
880c7339d7fffff,H3,2024,7,0.5
880c7339d7fffff,H3,2024,8,0.5
880c7339d7fffff,H3,2024,9,0.5
880c7339d7fffff,H3,2024,10,0.5
880c7339d7fffff,H3,2024,11,0.5
880c7339d7fffff,H3,2024,12,0.6
880c7339d7fffff,H3,2024,13,0.7
880c7339d7fffff,H3,2024,14,0.7
880c7339d7fffff,H3,2024,15,0.9
880c7339d7fffff,H3,2024,16,1.0
880c7339d7fffff,H3,2024,17,1.4
880c7339d7fffff,H3,2024,18,1.6
880c7339d7fffff,H3,2024,19,1.7
880c7339d7fffff,H3,2024,20,1.8
880c7339d7fffff,H3,2024,21,1.8
880c7339d7fffff,H3,2024,22,1.6
880c7339d7fffff,H3,2024,23,1.5
880c733a33fffff,H3,2024,0,1.5
880c733a33fffff,H3,2024,1,1.4
880c733a33fffff,H3,2024,2,1.1
880c733a33fffff,H3,2024,3,1.0
880c733a33fffff,H3,2024,4,0.9
880c733a33fffff,H3,2024,5,0.9
880c733a33fffff,H3,2024,6,0.8
880c733a33fffff,H3,2024,7,0.6
880c733a33fffff,H3,2024,8,0.6
880c733a33fffff,H3,2024,9,0.5
880c733a33fffff,H3,2024,10,0.6
880c733a33fffff,H3,2024,11,0.6
880c733a33fffff,H3,2024,12,0.7
880c733a33fffff,H3,2024,13,0.8
880c733a33fffff,H3,2024,14,0.9
880c733a33fffff,H3,2024,15,1.0
880c733a33fffff,H3,2024,16,1.2
880c733a33fffff,H3,2024,17,1.7
880c733a33fffff,H3,2024,18,1.9
880c733a33fffff,H3,2024,19,2.2
880c733a33fffff,H3,2024,20,2.3
880c733a33fffff,H3,2024,21,2.2
880c733a33fffff,H3,2024,22,2.0
880c733a33fffff,H3,2024,23,1.8
880d58486bfffff,H3,2024,0,2.2
880d58486bfffff,H3,2024,1,1.8
880d58486bfffff,H3,2024,2,1.6
880d58486bfffff,H3,2024,3,1.5
880d58486bfffff,H3,2024,4,1.2
880d58486bfffff,H3,2024,5,1.1
880d58486bfffff,H3,2024,6,1.0
880d58486bfffff,H3,2024,7,0.9
880d58486bfffff,H3,2024,8,0.7
880d58486bfffff,H3,2024,9,0.7
880d58486bfffff,H3,2024,10,0.8
880d58486bfffff,H3,2024,11,0.9
880d58486bfffff,H3,2024,12,1.0
880d58486bfffff,H3,2024,13,1.1
880d58486bfffff,H3,2024,14,1.2
880d58486bfffff,H3,2024,15,1.5
880d58486bfffff,H3,2024,16,1.8
880d58486bfffff,H3,2024,17,2.4
880d58486bfffff,H3,2024,18,2.8
880d58486bfffff,H3,2024,19,3.0
880d58486bfffff,H3,2024,20,3.1
880d58486bfffff,H3,2024,21,3.1
880d58486bfffff,H3,2024,22,2.8
880d58486bfffff,H3,2024,23,2.5
