Geography Name,Geography Type,Year,Hour of Day,Avg. Demand (kW),County
"Adams County, CO",county,2024,0,6,adams county
"Adams County, CO",county,2024,1,4.9,adams county
"Adams County, CO",county,2024,2,3.4,adams county
"Adams County, CO",county,2024,3,2,adams county
"Adams County, CO",county,2024,4,1,adams county
"Adams County, CO",county,2024,5,0.5,adams county
"Adams County, CO",county,2024,6,0.2,adams county
"Adams County, CO",county,2024,7,0.1,adams county
"Adams County, CO",county,2024,8,0.1,adams county
"Adams County, CO",county,2024,9,0.1,adams county
"Adams County, CO",county,2024,10,0.1,adams county
"Adams County, CO",county,2024,11,0,adams county
"Adams County, CO",county,2024,12,0.1,adams county
"Adams County, CO",county,2024,13,0.1,adams county
"Adams County, CO",county,2024,14,0,adams county
"Adams County, CO",county,2024,15,0,adams county
"Adams County, CO",county,2024,16,0,adams county
"Adams County, CO",county,2024,17,0,adams county
"Adams County, CO",county,2024,18,0,adams county
"Adams County, CO",county,2024,19,0,adams county
"Adams County, CO",county,2024,20,0.9,adams county
"Adams County, CO",county,2024,21,2.6,adams county
"Adams County, CO",county,2024,22,4.3,adams county
"Adams County, CO",county,2024,23,5.7,adams county
"Albany, GA",city,2024,0,12.6,albany
"Albany, GA",city,2024,1,11,albany
"Albany, GA",city,2024,2,9.5,albany
"Albany, GA",city,2024,3,8.4,albany
"Albany, GA",city,2024,4,7.5,albany
"Albany, GA",city,2024,5,6.8,albany
"Albany, GA",city,2024,6,6,albany
"Albany, GA",city,2024,7,4.8,albany
"Albany, GA",city,2024,8,4,albany
"Albany, GA",city,2024,9,3.9,albany
"Albany, GA",city,2024,10,4.1,albany
"Albany, GA",city,2024,11,4.8,albany
"Albany, GA",city,2024,12,5.5,albany
"Albany, GA",city,2024,13,6.1,albany
"Albany, GA",city,2024,14,6.8,albany
"Albany, GA",city,2024,15,8,albany
"Albany, GA",city,2024,16,10,albany
"Albany, GA",city,2024,17,13.1,albany
"Albany, GA",city,2024,18,15.3,albany
"Albany, GA",city,2024,19,16.5,albany
"Albany, GA",city,2024,20,17.4,albany
"Albany, GA",city,2024,21,17.2,albany
"Albany, GA",city,2024,22,16.2,albany
"Albany, GA",city,2024,23,14.7,albany
"Albemarle County, VA",county,2024,0,1.8,albemarle county
"Albemarle County, VA",county,2024,1,1.6,albemarle county
"Albemarle County, VA",county,2024,2,1.4,albemarle county
"Albemarle County, VA",county,2024,3,1.1,albemarle county
"Albemarle County, VA",county,2024,4,1,albemarle county
"Albemarle County, VA",county,2024,5,0.9,albemarle county
"Albemarle County, VA",county,2024,6,0.8,albemarle county
"Albemarle County, VA",county,2024,7,0.6,albemarle county
"Albemarle County, VA",county,2024,8,0.6,albemarle county
"Albemarle County, VA",county,2024,9,0.5,albemarle county
"Albemarle County, VA",county,2024,10,0.6,albemarle county
"Albemarle County, VA",county,2024,11,0.6,albemarle county
"Albemarle County, VA",county,2024,12,0.7,albemarle county
"Albemarle County, VA",county,2024,13,0.8,albemarle county
"Albemarle County, VA",county,2024,14,0.9,albemarle county
"Albemarle County, VA",county,2024,15,1,albemarle county
"Albemarle County, VA",county,2024,16,1.2,albemarle county
"Albemarle County, VA",county,2024,17,1.7,albemarle county
"Albemarle County, VA",county,2024,18,1.9,albemarle county
"Albemarle County, VA",county,2024,19,2.2,albemarle county
"Albemarle County, VA",county,2024,20,2.3,albemarle county
"Albemarle County, VA",county,2024,21,2.3,albemarle county
"Albemarle County, VA",county,2024,22,2.3,albemarle county
"Albemarle County, VA",county,2024,23,2.2,albemarle county
"Allegheny County, PA",county,2024,0,1.8,allegheny county
"Allegheny County, PA",county,2024,1,1.6,allegheny county
"Allegheny County, PA",county,2024,2,1.4,allegheny county
"Allegheny County, PA",county,2024,3,1.2,allegheny county
"Allegheny County, PA",county,2024,4,1.1,allegheny county
"Allegheny County, PA",county,2024,5,1,allegheny county
"Allegheny County, PA",county,2024,6,0.9,allegheny county
"Allegheny County, PA",county,2024,7,0.7,allegheny county
"Allegheny County, PA",county,2024,8,0.6,allegheny county
"Allegheny County, PA",county,2024,9,0.6,allegheny county
"Allegheny County, PA",county,2024,10,0.6,allegheny county
"Allegheny County, PA",county,2024,11,0.7,allegheny county
"Allegheny County, PA",county,2024,12,0.8,allegheny county
"Allegheny County, PA",county,2024,13,0.9,allegheny county
"Allegheny County, PA",county,2024,14,1,allegheny county
"Allegheny County, PA",county,2024,15,1.2,allegheny county
"Allegheny County, PA",county,2024,16,1.5,allegheny county
"Allegheny County, PA",county,2024,17,1.9,allegheny county
"Allegheny County, PA",county,2024,18,2.3,allegheny county
"Allegheny County, PA",county,2024,19,2.5,allegheny county
"Allegheny County, PA",county,2024,20,2.6,allegheny county
"Allegheny County, PA",county,2024,21,2.5,allegheny county
"Allegheny County, PA",county,2024,22,2.4,allegheny county
"Allegheny County, PA",county,2024,23,2,allegheny county
"Alvin, TX",city,2024,0,10.8,alvin
"Alvin, TX",city,2024,1,8.6,alvin
"Alvin, TX",city,2024,2,6.1,alvin
"Alvin, TX",city,2024,3,3.8,alvin
"Alvin, TX",city,2024,4,1.8,alvin
"Alvin, TX",city,2024,5,0.8,alvin
"Alvin, TX",city,2024,6,0.3,alvin
"Alvin, TX",city,2024,7,0.2,alvin
"Alvin, TX",city,2024,8,0.1,alvin
"Alvin, TX",city,2024,9,0.1,alvin
"Alvin, TX",city,2024,10,0.1,alvin
"Alvin, TX",city,2024,11,0.1,alvin
"Alvin, TX",city,2024,12,0.1,alvin
"Alvin, TX",city,2024,13,0.1,alvin
"Alvin, TX",city,2024,14,0.1,alvin
"Alvin, TX",city,2024,15,0,alvin
"Alvin, TX",city,2024,16,0,alvin
"Alvin, TX",city,2024,17,0,alvin
"Alvin, TX",city,2024,18,0,alvin
"Alvin, TX",city,2024,19,0,alvin
"Alvin, TX",city,2024,20,1.6,alvin
"Alvin, TX",city,2024,21,4.7,alvin
"Alvin, TX",city,2024,22,7.6,alvin
"Alvin, TX",city,2024,23,10.1,alvin
"Ames, IA",city,2024,0,11,ames
"Ames, IA",city,2024,1,9.1,ames
"Ames, IA",city,2024,2,6.8,ames
"Ames, IA",city,2024,3,4.8,ames
"Ames, IA",city,2024,4,3.2,ames
"Ames, IA",city,2024,5,2.2,ames
"Ames, IA",city,2024,6,1.7,ames
"Ames, IA",city,2024,7,1.2,ames
"Ames, IA",city,2024,8,1,ames
"Ames, IA",city,2024,9,1,ames
"Ames, IA",city,2024,10,1,ames
"Ames, IA",city,2024,11,1.2,ames
"Ames, IA",city,2024,12,1.4,ames
"Ames, IA",city,2024,13,1.6,ames
"Ames, IA",city,2024,14,1.7,ames
"Ames, IA",city,2024,15,1.9,ames
"Ames, IA",city,2024,16,2.4,ames
"Ames, IA",city,2024,17,3.2,ames
"Ames, IA",city,2024,18,3.8,ames
"Ames, IA",city,2024,19,4,ames
"Ames, IA",city,2024,20,5.3,ames
"Ames, IA",city,2024,21,7.6,ames
"Ames, IA",city,2024,22,9.5,ames
"Ames, IA",city,2024,23,11,ames
"Arcadia, WI",city,2024,0,2.3,arcadia
"Arcadia, WI",city,2024,1,1.8,arcadia
"Arcadia, WI",city,2024,2,1.2,arcadia
"Arcadia, WI",city,2024,3,0.8,arcadia
"Arcadia, WI",city,2024,4,0.3,arcadia
"Arcadia, WI",city,2024,5,0.1,arcadia
"Arcadia, WI",city,2024,6,0.1,arcadia
"Arcadia, WI",city,2024,7,0,arcadia
"Arcadia, WI",city,2024,8,0,arcadia
"Arcadia, WI",city,2024,9,0,arcadia
"Arcadia, WI",city,2024,10,0,arcadia
"Arcadia, WI",city,2024,11,0,arcadia
"Arcadia, WI",city,2024,12,0,arcadia
"Arcadia, WI",city,2024,13,0,arcadia
"Arcadia, WI",city,2024,14,0,arcadia
"Arcadia, WI",city,2024,15,0,arcadia
"Arcadia, WI",city,2024,16,0,arcadia
"Arcadia, WI",city,2024,17,0,arcadia
"Arcadia, WI",city,2024,18,0,arcadia
"Arcadia, WI",city,2024,19,0,arcadia
"Arcadia, WI",city,2024,20,0.3,arcadia
"Arcadia, WI",city,2024,21,1,arcadia
"Arcadia, WI",city,2024,22,1.6,arcadia
"Arcadia, WI",city,2024,23,2.2,arcadia
"Arlington County, DC VA",county,2024,0,2.2,arlington county
"Arlington County, DC VA",county,2024,1,1.9,arlington county
"Arlington County, DC VA",county,2024,2,1.7,arlington county
"Arlington County, DC VA",county,2024,3,1.5,arlington county
"Arlington County, DC VA",county,2024,4,1.4,arlington county
"Arlington County, DC VA",county,2024,5,1.2,arlington county
"Arlington County, DC VA",county,2024,6,1.1,arlington county
"Arlington County, DC VA",county,2024,7,0.9,arlington county
"Arlington County, DC VA",county,2024,8,0.7,arlington county
"Arlington County, DC VA",county,2024,9,0.7,arlington county
"Arlington County, DC VA",county,2024,10,0.8,arlington county
"Arlington County, DC VA",county,2024,11,0.9,arlington county
"Arlington County, DC VA",county,2024,12,1,arlington county
"Arlington County, DC VA",county,2024,13,1.1,arlington county
"Arlington County, DC VA",county,2024,14,1.2,arlington county
"Arlington County, DC VA",county,2024,15,1.5,arlington county
"Arlington County, DC VA",county,2024,16,1.8,arlington county
"Arlington County, DC VA",county,2024,17,2.4,arlington county
"Arlington County, DC VA",county,2024,18,2.8,arlington county
"Arlington County, DC VA",county,2024,19,3.1,arlington county
