Geography Name,Geography Type,Year,Hour of Day,Avg. Demand (kW)
880c42c20bfffff,H3,2029,0,5.6
880c42c20bfffff,H3,2029,1,4.9
880c42c20bfffff,H3,2029,2,4.2
880c42c20bfffff,H3,2029,3,3.8
880c42c20bfffff,H3,2029,4,3.4
880c42c20bfffff,H3,2029,5,3.1
880c42c20bfffff,H3,2029,6,2.8
880c42c20bfffff,H3,2029,7,2.3
880c42c20bfffff,H3,2029,8,2.0
880c42c20bfffff,H3,2029,9,1.9
880c42c20bfffff,H3,2029,10,2.0
880c42c20bfffff,H3,2029,11,2.4
880c42c20bfffff,H3,2029,12,2.7
880c42c20bfffff,H3,2029,13,3.1
880c42c20bfffff,H3,2029,14,3.4
880c42c20bfffff,H3,2029,15,4.1
880c42c20bfffff,H3,2029,16,5.1
880c42c20bfffff,H3,2029,17,6.5
880c42c20bfffff,H3,2029,18,7.5
880c42c20bfffff,H3,2029,19,8.0
880c42c20bfffff,H3,2029,20,8.2
880c42c20bfffff,H3,2029,21,8.1
880c42c20bfffff,H3,2029,22,7.5
880c42c20bfffff,H3,2029,23,6.6
880c465213fffff,H3,2029,0,3.0
880c465213fffff,H3,2029,1,2.5
880c465213fffff,H3,2029,2,2.2
880c465213fffff,H3,2029,3,1.9
880c465213fffff,H3,2029,4,1.7
880c465213fffff,H3,2029,5,1.6
880c465213fffff,H3,2029,6,1.5
880c465213fffff,H3,2029,7,1.2
880c465213fffff,H3,2029,8,1.0
880c465213fffff,H3,2029,9,1.0
880c465213fffff,H3,2029,10,1.1
880c465213fffff,H3,2029,11,1.2
880c465213fffff,H3,2029,12,1.5
880c465213fffff,H3,2029,13,1.6
880c465213fffff,H3,2029,14,1.8
880c465213fffff,H3,2029,15,2.2
880c465213fffff,H3,2029,16,2.7
880c465213fffff,H3,2029,17,3.4
880c465213fffff,H3,2029,18,4.0
880c465213fffff,H3,2029,19,4.2
880c465213fffff,H3,2029,20,4.3
880c465213fffff,H3,2029,21,4.2
880c465213fffff,H3,2029,22,3.9
880c465213fffff,H3,2029,23,3.4
880c51cc2dfffff,H3,2029,0,2.2
880c51cc2dfffff,H3,2029,1,1.8
880c51cc2dfffff,H3,2029,2,1.6
880c51cc2dfffff,H3,2029,3,1.5
