Geography Name,Geography Type,Year,Hour of Day,Avg. Demand (kW)
880c733855fffff,H3,2023,0,4.5
880c733855fffff,H3,2023,1,4.0
880c733855fffff,H3,2023,2,3.4
880c733855fffff,H3,2023,3,3.1
880c733855fffff,H3,2023,4,2.8
880c733855fffff,H3,2023,5,2.5
880c733855fffff,H3,2023,6,2.3
880c733855fffff,H3,2023,7,1.8
880c733855fffff,H3,2023,8,1.5
880c733855fffff,H3,2023,9,1.5
880c733855fffff,H3,2023,10,1.6
880c733855fffff,H3,2023,11,1.8
880c733855fffff,H3,2023,12,2.0
880c733855fffff,H3,2023,13,2.3
880c733855fffff,H3,2023,14,2.6
880c733855fffff,H3,2023,15,3.1
880c733855fffff,H3,2023,16,3.9
880c733855fffff,H3,2023,17,5.0
880c733855fffff,H3,2023,18,5.9
880c733855fffff,H3,2023,19,6.2
880c733855fffff,H3,2023,20,6.6
880c733855fffff,H3,2023,21,6.5
880c733855fffff,H3,2023,22,5.9
880c733855fffff,H3,2023,23,5.3
880d5a91e7fffff,H3,2023,0,1.7
880d5a91e7fffff,H3,2023,1,1.5
880d5a91e7fffff,H3,2023,2,1.2
880d5a91e7fffff,H3,2023,3,1.1
880d5a91e7fffff,H3,2023,4,1.0
880d5a91e7fffff,H3,2023,5,0.9
880d5a91e7fffff,H3,2023,6,0.9
880d5a91e7fffff,H3,2023,7,0.8
880d5a91e7fffff,H3,2023,8,0.7
880d5a91e7fffff,H3,2023,9,0.7
880d5a91e7fffff,H3,2023,10,0.7
880d5a91e7fffff,H3,2023,11,0.8
880d5a91e7fffff,H3,2023,12,0.9
880d5a91e7fffff,H3,2023,13,1.0
880d5a91e7fffff,H3,2023,14,1.1
880d5a91e7fffff,H3,2023,15,1.4
880d5a91e7fffff,H3,2023,16,1.6
880d5a91e7fffff,H3,2023,17,2.0
880d5a91e7fffff,H3,2023,18,2.4
880d5a91e7fffff,H3,2023,19,2.6
880d5a91e7fffff,H3,2023,20,2.6
880d5a91e7fffff,H3,2023,21,2.5
880d5a91e7fffff,H3,2023,22,2.4
880d5a91e7fffff,H3,2023,23,2.0
8812db0c39fffff,H3,2023,0,1.6
8812db0c39fffff,H3,2023,1,1.4
8812db0c39fffff,H3,2023,2,1.2
8812db0c39fffff,H3,2023,3,1.0
8812db0c39fffff,H3,2023,4,1.0
8812db0c39fffff,H3,2023,5,0.9
8812db0c39fffff,H3,2023,6,0.8
8812db0c39fffff,H3,2023,7,0.7
8812db0c39fffff,H3,2023,8,0.6
8812db0c39fffff,H3,2023,9,0.5
8812db0c39fffff,H3,2023,10,0.6
8812db0c39fffff,H3,2023,11,0.7
8812db0c39fffff,H3,2023,12,0.7
8812db0c39fffff,H3,2023,13,0.8
8812db0c39fffff,H3,2023,14,0.9
8812db0c39fffff,H3,2023,15,1.0
8812db0c39fffff,H3,2023,16,1.4
8812db0c39fffff,H3,2023,17,1.7
8812db0c39fffff,H3,2023,18,2.0
