Geography Name,Geography Type,Year,Hour of Day,Avg. Demand (kW)
880c42c20bfffff,H3,2027,0,3.2
880c42c20bfffff,H3,2027,1,2.8
880c42c20bfffff,H3,2027,2,2.4
880c42c20bfffff,H3,2027,3,2.2
880c42c20bfffff,H3,2027,4,1.9
880c42c20bfffff,H3,2027,5,1.8
880c42c20bfffff,H3,2027,6,1.6
880c42c20bfffff,H3,2027,7,1.4
880c42c20bfffff,H3,2027,8,1.1
880c42c20bfffff,H3,2027,9,1.0
880c42c20bfffff,H3,2027,10,1.1
880c42c20bfffff,H3,2027,11,1.4
880c42c20bfffff,H3,2027,12,1.6
880c42c20bfffff,H3,2027,13,1.7
880c42c20bfffff,H3,2027,14,1.9
880c42c20bfffff,H3,2027,15,2.3
880c42c20bfffff,H3,2027,16,2.8
880c42c20bfffff,H3,2027,17,3.6
880c42c20bfffff,H3,2027,18,4.3
880c42c20bfffff,H3,2027,19,4.5
880c42c20bfffff,H3,2027,20,4.8
880c42c20bfffff,H3,2027,21,4.7
880c42c20bfffff,H3,2027,22,4.3
880c42c20bfffff,H3,2027,23,3.9
880c465213fffff,H3,2027,0,1.6
880c465213fffff,H3,2027,1,1.5
880c465213fffff,H3,2027,2,1.2
880c465213fffff,H3,2027,3,1.1
880c465213fffff,H3,2027,4,1.0
880c465213fffff,H3,2027,5,0.9
880c465213fffff,H3,2027,6,0.8
880c465213fffff,H3,2027,7,0.7
880c465213fffff,H3,2027,8,0.6
880c465213fffff,H3,2027,9,0.6
880c465213fffff,H3,2027,10,0.6
880c465213fffff,H3,2027,11,0.7
880c465213fffff,H3,2027,12,0.8
880c465213fffff,H3,2027,13,0.9
880c465213fffff,H3,2027,14,1.0
880c465213fffff,H3,2027,15,1.1
880c465213fffff,H3,2027,16,1.5
880c465213fffff,H3,2027,17,1.9
880c465213fffff,H3,2027,18,2.2
880c465213fffff,H3,2027,19,2.4
880c465213fffff,H3,2027,20,2.4
880c465213fffff,H3,2027,21,2.4
880c465213fffff,H3,2027,22,2.2
880c465213fffff,H3,2027,23,1.9
880c51cc2dfffff,H3,2027,0,1.2
880c51cc2dfffff,H3,2027,1,1.0
880c51cc2dfffff,H3,2027,2,0.9
880c51cc2dfffff,H3,2027,3,0.9
880c51cc2dfffff,H3,2027,4,0.8
880c51cc2dfffff,H3,2027,5,0.7
880c51cc2dfffff,H3,2027,6,0.6
880c51cc2dfffff,H3,2027,7,0.5
880c51cc2dfffff,H3,2027,8,0.5
880c51cc2dfffff,H3,2027,9,0.3
880c51cc2dfffff,H3,2027,10,0.5
880c51cc2dfffff,H3,2027,11,0.5
880c51cc2dfffff,H3,2027,12,0.6
