Year,Hour of Day,Avg. Demand,County
2023,0,4.5,anchorage
2023,1,4.0,anchorage
2023,2,3.4,anchorage
2023,3,3.1,anchorage
2023,4,2.8,anchorage
2023,5,2.5,anchorage
2023,6,2.3,anchorage
2023,7,1.8,anchorage
2023,8,1.5,anchorage
2023,9,1.5,anchorage
2023,10,1.6,anchorage
2023,11,1.8,anchorage
2023,12,2.0,anchorage
2023,13,2.3,anchorage
2023,14,2.6,anchorage
2023,15,3.1,anchorage
2023,16,3.9,anchorage
2023,17,5.0,anchorage
2023,18,5.9,anchorage
2023,19,6.2,anchorage
2023,20,6.6,anchorage
2023,21,6.5,anchorage
2023,22,5.9,anchorage
2023,23,5.3,anchorage
2023,0,1.7,fairbanks north star
2023,1,1.5,fairbanks north star
2023,2,1.2,fairbanks north star
2023,3,1.1,fairbanks north star
2023,4,1.0,fairbanks north star
2023,5,0.9,fairbanks north star
2023,6,0.9,fairbanks north star
2023,7,0.8,fairbanks north star
2023,8,0.7,fairbanks north star
2023,9,0.7,fairbanks north star
2023,10,0.7,fairbanks north star
2023,11,0.8,fairbanks north star
2023,12,0.9,fairbanks north star
2023,13,1.0,fairbanks north star
2023,14,1.1,fairbanks north star
2023,15,1.4,fairbanks north star
2023,16,1.6,fairbanks north star
2023,17,2.0,fairbanks north star
2023,18,2.4,fairbanks north star
2023,19,2.6,fairbanks north star
2023,20,2.6,fairbanks north star
2023,21,2.5,fairbanks north star
2023,22,2.4,fairbanks north star
2023,23,2.0,fairbanks north star
2023,0,1.6,spokane
2023,1,1.4,spokane
2023,2,1.2,spokane
2023,3,1.0,spokane
2023,4,1.0,spokane
2023,5,0.9,spokane
2023,6,0.8,spokane
2023,7,0.7,spokane
2023,8,0.6,spokane
2023,9,0.5,spokane
2023,10,0.6,spokane
2023,11,0.7,spokane
2023,12,0.7,spokane
2023,13,0.8,spokane
2023,14,0.9,spokane
2023,15,1.0,spokane
2023,16,1.4,spokane
2023,17,1.7,spokane
2023,18,2.0,spokane
2023,19,2.2,spokane
2023,20,2.3,spokane
2023,21,2.3,spokane
2023,22,2.0,spokane
2023,23,1.8,spokane
2023,0,1.2,minnehaha
2023,1,1.1,minnehaha
2023,2,0.9,minnehaha
2023,3,0.9,minnehaha
2023,4,0.8,minnehaha
2023,5,0.7,minnehaha
2023,6,0.7,minnehaha
2023,7,0.6,minnehaha
2023,8,0.5,minnehaha
2023,9,0.5,minnehaha
2023,10,0.5,minnehaha
2023,11,0.6,minnehaha
2023,12,0.6,minnehaha
2023,13,0.7,minnehaha
2023,14,0.8,minnehaha
2023,15,0.9,minnehaha
2023,16,1.1,minnehaha
2023,17,1.5,minnehaha
2023,18,1.7,minnehaha
2023,19,1.8,minnehaha
2023,20,1.8,minnehaha
2023,21,1.8,minnehaha
2023,22,1.7,minnehaha
2023,23,1.5,minnehaha
2023,0,1.6,sarpy
2023,1,1.4,sarpy
2023,2,1.1,sarpy
2023,3,1.0,sarpy
2023,4,0.9,sarpy
2023,5,0.9,sarpy
2023,6,0.8,sarpy
2023,7,0.7,sarpy
2023,8,0.6,sarpy
2023,9,0.6,sarpy
2023,10,0.6,sarpy
2023,11,0.7,sarpy
2023,12,0.8,sarpy
2023,13,0.9,sarpy
2023,14,0.9,sarpy
2023,15,1.1,sarpy
2023,16,1.4,sarpy
2023,17,1.8,sarpy
2023,18,2.2,sarpy
2023,19,2.3,sarpy
2023,20,2.4,sarpy
2023,21,2.3,sarpy
2023,22,2.2,sarpy
2023,23,1.8,sarpy
2023,0,1.7,lancaster
2023,1,1.5,lancaster
2023,2,1.2,lancaster
2023,3,1.1,lancaster
2023,4,1.0,lancaster
2023,5,0.9,lancaster
2023,6,0.9,lancaster
2023,7,0.7,lancaster
2023,8,0.6,lancaster
2023,9,0.6,lancaster
2023,10,0.6,lancaster
2023,11,0.7,lancaster
2023,12,0.8,lancaster
2023,13,0.9,lancaster
2023,14,1.0,lancaster
2023,15,1.1,lancaster
2023,16,1.5,lancaster
2023,17,1.9,lancaster
2023,18,2.2,lancaster
2023,19,2.4,lancaster
2023,20,2.5,lancaster
2023,21,2.4,lancaster
2023,22,2.3,lancaster
2023,23,2.0,lancaster
2023,0,10.3,lancaster
2023,0,0.2,lancaster
2023,1,9.1,lancaster
2023,1,0.2,lancaster
2023,2,8.0,lancaster
2023,2,0.2,lancaster
2023,3,7.2,lancaster
2023,3,0.1,lancaster
2023,4,6.5,lancaster
2023,4,0.1,lancaster
2023,5,5.9,lancaster
2023,5,0.1,lancaster
2023,6,5.2,lancaster
2023,6,0.1,lancaster
2023,7,4.2,lancaster
2023,7,0.1,lancaster
2023,8,3.5,lancaster
2023,8,0.1,lancaster
2023,9,3.4,lancaster
2023,9,0.1,lancaster
2023,10,3.6,lancaster
2023,10,0.1,lancaster
2023,11,4.2,lancaster
2023,11,0.1,lancaster
2023,12,4.9,lancaster
2023,12,0.1,lancaster
2023,13,5.5,lancaster
2023,13,0.1,lancaster
2023,14,6.0,lancaster
2023,14,0.1,lancaster
2023,15,7.0,lancaster
2023,15,0.1,lancaster
2023,16,8.9,lancaster
2023,16,0.2,lancaster
2023,17,11.6,lancaster
2023,17,0.2,lancaster
2023,18,13.5,lancaster
2023,18,0.3,lancaster
2023,19,14.5,lancaster
2023,19,0.3,lancaster
2023,20,15.1,lancaster
2023,20,0.3,lancaster
2023,21,14.8,lancaster
2023,21,0.3,lancaster
2023,22,13.8,lancaster
2023,22,0.3,lancaster
2023,23,12.3,lancaster
2023,23,0.2,lancaster
2023,0,6.6,polk
2023,1,5.8,polk
2023,2,5.1,polk
2023,3,4.5,polk
2023,4,4.1,polk
2023,5,3.8,polk
2023,6,3.3,polk
2023,7,2.7,polk
2023,8,2.3,polk
2023,9,2.3,polk
2023,10,2.4,polk
2023,11,2.7,polk
2023,12,3.2,polk
2023,13,3.5,polk
2023,14,4.0,polk
2023,15,4.7,polk
2023,16,5.8,polk
2023,17,7.5,polk
2023,18,8.8,polk
2023,19,9.4,polk
2023,20,9.8,polk
2023,21,9.5,polk
2023,22,8.9,polk
2023,23,7.8,polk
2023,0,2.0,polk
2023,1,1.7,polk
2023,2,1.5,polk
2023,3,1.4,polk
2023,4,1.2,polk
2023,5,1.1,polk
2023,6,1.0,polk
2023,7,0.8,polk
2023,8,0.7,polk
2023,9,0.7,polk
2023,10,0.7,polk
2023,11,0.8,polk
2023,12,0.9,polk
2023,13,1.0,polk
2023,14,1.1,polk
2023,15,1.4,polk
2023,16,1.7,polk
2023,17,2.2,polk
2023,18,2.6,polk
2023,19,2.7,polk
2023,20,2.8,polk
2023,21,2.8,polk
2023,22,2.6,polk
2023,23,2.4,polk
2023,0,5.1,polk
2023,1,4.5,polk
2023,2,4.0,polk
2023,3,3.5,polk
2023,4,3.2,polk
2023,5,3.0,polk
2023,6,2.6,polk
2023,7,2.0,polk
2023,8,1.7,polk
2023,9,1.7,polk
2023,10,1.8,polk
2023,11,2.0,polk
2023,12,2.4,polk
2023,13,2.6,polk
2023,14,3.0,polk
2023,15,3.5,polk
2023,16,4.3,polk
2023,17,5.7,polk
2023,18,6.7,polk
2023,19,7.2,polk
2023,20,7.5,polk
2023,21,7.4,polk
2023,22,6.8,polk
2023,23,6.1,polk
2023,0,2.3,pennington
2023,1,2.0,pennington
2023,2,1.7,pennington
2023,3,1.6,pennington
2023,4,1.4,pennington
2023,5,1.2,pennington
2023,6,1.1,pennington
2023,7,0.9,pennington
2023,8,0.8,pennington
2023,9,0.8,pennington
2023,10,0.9,pennington
2023,11,1.0,pennington
2023,12,1.1,pennington
2023,13,1.2,pennington
2023,14,1.4,pennington
2023,15,1.6,pennington
2023,16,2.0,pennington
2023,17,2.6,pennington
2023,18,3.1,pennington
2023,19,3.3,pennington
2023,20,3.4,pennington
2023,21,3.3,pennington
2023,22,3.1,pennington
2023,23,2.7,pennington
2023,0,2.2,cass
2023,1,1.8,cass
2023,2,1.6,cass
2023,3,1.5,cass
2023,4,1.4,cass
2023,5,1.2,cass
2023,6,1.0,cass
2023,7,0.9,cass
2023,8,0.7,cass
2023,9,0.7,cass
2023,10,0.8,cass
2023,11,0.9,cass
2023,12,1.0,cass
2023,13,1.1,cass
2023,14,1.2,cass
2023,15,1.5,cass
2023,16,1.8,cass
2023,17,2.4,cass
2023,18,2.8,cass
2023,19,3.0,cass
2023,20,3.2,cass
2023,21,3.1,cass
2023,22,2.8,cass
2023,23,2.5,cass
2023,0,2.8,burleigh
2023,1,2.5,burleigh
2023,2,2.2,burleigh
2023,3,1.9,burleigh
2023,4,1.8,burleigh
2023,5,1.6,burleigh
2023,6,1.5,burleigh
2023,7,1.1,burleigh
2023,8,1.0,burleigh
2023,9,0.9,burleigh
2023,10,1.0,burleigh
2023,11,1.1,burleigh
2023,12,1.4,burleigh
2023,13,1.5,burleigh
2023,14,1.7,burleigh
2023,15,2.0,burleigh
2023,16,2.5,burleigh
2023,17,3.3,burleigh
2023,18,3.8,burleigh
2023,19,4.1,burleigh
2023,20,4.2,burleigh
2023,21,4.1,burleigh
2023,22,3.9,burleigh
2023,23,3.4,burleigh
2023,0,1.7,st. louis
2023,1,1.5,st. louis
2023,2,1.2,st. louis
2023,3,1.1,st. louis
2023,4,1.0,st. louis
2023,5,0.9,st. louis
2023,6,0.9,st. louis
2023,7,0.7,st. louis
2023,8,0.6,st. louis
2023,9,0.6,st. louis
2023,10,0.6,st. louis
2023,11,0.7,st. louis
2023,12,0.8,st. louis
2023,13,0.9,st. louis
2023,14,1.0,st. louis
2023,15,1.1,st. louis
2023,16,1.4,st. louis
2023,17,1.8,st. louis
2023,18,2.2,st. louis
2023,19,2.4,st. louis
2023,20,2.5,st. louis
2023,21,2.4,st. louis
2023,22,2.3,st. louis
2023,23,2.0,st. louis
2023,0,1.5,st. louis
2023,1,1.2,st. louis
2023,2,1.1,st. louis
2023,3,1.0,st. louis
2023,4,0.9,st. louis
2023,5,0.8,st. louis
2023,6,0.8,st. louis
2023,7,0.6,st. louis
2023,8,0.5,st. louis
2023,9,0.5,st. louis
2023,10,0.6,st. louis
2023,11,0.6,st. louis
2023,12,0.7,st. louis
2023,13,0.8,st. louis
2023,14,0.8,st. louis
2023,15,1.0,st. louis
2023,16,1.2,st. louis
2023,17,1.6,st. louis
2023,18,1.9,st. louis
2023,19,2.0,st. louis
2023,20,2.2,st. louis
2023,21,2.0,st. louis
2023,22,1.9,st. louis
2023,23,1.7,st. louis
2023,0,2.0,williamson
2023,1,1.8,williamson
2023,2,1.6,williamson
2023,3,1.4,williamson
2023,4,1.2,williamson
2023,5,1.1,williamson
2023,6,1.0,williamson
2023,7,0.9,williamson
2023,8,0.8,williamson
2023,9,0.7,williamson
2023,10,0.8,williamson
2023,11,0.9,williamson
2023,12,1.0,williamson
2023,13,1.1,williamson
2023,14,1.2,williamson
2023,15,1.5,williamson
2023,16,1.8,williamson
2023,17,2.4,williamson
2023,18,2.8,williamson
2023,19,3.0,williamson
2023,20,3.1,williamson
2023,21,3.1,williamson
2023,22,2.8,williamson
2023,23,2.5,williamson
2023,0,4.9,sangamon
2023,1,4.2,sangamon
2023,2,3.6,sangamon
2023,3,3.3,sangamon
2023,4,3.0,sangamon
2023,5,2.7,sangamon
2023,6,2.5,sangamon
2023,7,2.0,sangamon
2023,8,1.7,sangamon
2023,9,1.7,sangamon
2023,10,1.8,sangamon
2023,11,2.0,sangamon
2023,12,2.4,sangamon
2023,13,2.7,sangamon
2023,14,3.0,sangamon
2023,15,3.5,sangamon
2023,16,4.3,sangamon
2023,17,5.7,sangamon
2023,18,6.6,sangamon
2023,19,7.0,sangamon
2023,20,7.3,sangamon
2023,21,7.0,sangamon
2023,22,6.6,sangamon
2023,23,5.8,sangamon
2023,0,30.3,sangamon
2023,1,26.6,sangamon
2023,2,23.2,sangamon
2023,3,20.9,sangamon
2023,4,18.9,sangamon
2023,5,17.2,sangamon
2023,6,15.2,sangamon
2023,7,12.2,sangamon
2023,8,10.2,sangamon
2023,9,9.8,sangamon
2023,10,10.6,sangamon
2023,11,12.2,sangamon
2023,12,14.0,sangamon
2023,13,15.6,sangamon
2023,14,17.5,sangamon
2023,15,20.6,sangamon
2023,16,25.6,sangamon
2023,17,33.5,sangamon
2023,18,39.3,sangamon
2023,19,42.3,sangamon
2023,20,44.1,sangamon
2023,21,43.2,sangamon
2023,22,40.1,sangamon
2023,23,35.7,sangamon
2023,0,3.2,madison
2023,1,2.8,madison
