Year,Hour of Day,Avg. Demand,County
2035,0,2.0,yukon-koyukuk
2035,1,1.7,yukon-koyukuk
2035,2,1.5,yukon-koyukuk
2035,3,1.4,yukon-koyukuk
2035,4,1.2,yukon-koyukuk
2035,5,1.1,yukon-koyukuk
2035,6,1.0,yukon-koyukuk
2035,7,0.9,yukon-koyukuk
2035,8,0.8,yukon-koyukuk
2035,9,0.8,yukon-koyukuk
2035,10,0.8,yukon-koyukuk
2035,11,0.9,yukon-koyukuk
2035,12,1.0,yukon-koyukuk
2035,13,1.2,yukon-koyukuk
2035,14,1.4,yukon-koyukuk
2035,15,1.6,yukon-koyukuk
2035,16,2.0,yukon-koyukuk
2035,17,2.5,yukon-koyukuk
2035,18,3.0,yukon-koyukuk
2035,19,3.1,yukon-koyukuk
2035,20,3.2,yukon-koyukuk
2035,21,3.0,yukon-koyukuk
2035,22,2.7,yukon-koyukuk
2035,23,2.4,yukon-koyukuk
2035,0,1.5,bethel
2035,1,1.2,bethel
2035,2,1.0,bethel
2035,3,0.9,bethel
2035,4,0.8,bethel
2035,5,0.8,bethel
2035,6,0.8,bethel
2035,7,0.8,bethel
2035,8,0.7,bethel
2035,9,0.7,bethel
2035,10,0.7,bethel
2035,11,0.8,bethel
2035,12,1.0,bethel
2035,13,1.1,bethel
2035,14,1.1,bethel
2035,15,1.5,bethel
2035,16,1.8,bethel
2035,17,2.3,bethel
2035,18,2.5,bethel
2035,19,2.6,bethel
2035,20,2.5,bethel
2035,21,2.4,bethel
2035,22,2.2,bethel
2035,23,1.8,bethel
2035,0,13.5,kenai peninsula
2035,1,11.7,kenai peninsula
2035,2,10.0,kenai peninsula
2035,3,8.8,kenai peninsula
2035,4,7.7,kenai peninsula
2035,5,7.0,kenai peninsula
2035,6,6.7,kenai peninsula
2035,7,5.8,kenai peninsula
2035,8,5.1,kenai peninsula
2035,9,4.9,kenai peninsula
2035,10,5.3,kenai peninsula
2035,11,6.1,kenai peninsula
2035,12,7.3,kenai peninsula
2035,13,8.2,kenai peninsula
2035,14,8.9,kenai peninsula
2035,15,10.6,kenai peninsula
2035,16,13.3,kenai peninsula
2035,17,16.7,kenai peninsula
2035,18,18.9,kenai peninsula
2035,19,19.8,kenai peninsula
2035,20,20.1,kenai peninsula
2035,21,19.5,kenai peninsula
2035,22,18.1,kenai peninsula
2035,23,15.9,kenai peninsula
2035,0,0.8,chugach
2035,1,0.7,chugach
2035,2,0.6,chugach
2035,3,0.5,chugach
2035,4,0.3,chugach
2035,5,0.5,chugach
2035,6,0.6,chugach
2035,7,0.6,chugach
2035,8,0.6,chugach
2035,9,0.5,chugach
2035,10,0.6,chugach
2035,11,0.7,chugach
2035,12,0.8,chugach
2035,13,0.9,chugach
2035,14,0.9,chugach
2035,15,1.1,chugach
2035,16,1.5,chugach
2035,17,1.7,chugach
2035,18,1.8,chugach
2035,19,1.8,chugach
2035,20,1.7,chugach
2035,21,1.6,chugach
2035,22,1.4,chugach
2035,23,1.0,chugach
2035,0,1.5,chugach
2035,1,1.2,chugach
2035,2,1.0,chugach
2035,3,0.8,chugach
2035,4,0.8,chugach
2035,5,0.8,chugach
2035,6,0.8,chugach
2035,7,0.8,chugach
2035,8,0.8,chugach
2035,9,0.7,chugach
2035,10,0.8,chugach
2035,11,0.9,chugach
2035,12,1.1,chugach
2035,13,1.2,chugach
2035,14,1.4,chugach
2035,15,1.6,chugach
2035,16,2.0,chugach
2035,17,2.5,chugach
2035,18,2.7,chugach
2035,19,2.7,chugach
2035,20,2.6,chugach
2035,21,2.4,chugach
2035,22,2.2,chugach
2035,23,1.8,chugach
2035,0,7.3,anchorage
2035,1,6.2,anchorage
2035,2,5.3,anchorage
2035,3,4.7,anchorage
2035,4,4.1,anchorage
2035,5,3.8,anchorage
2035,6,3.6,anchorage
2035,7,3.2,anchorage
2035,8,2.8,anchorage
2035,9,2.7,anchorage
2035,10,3.0,anchorage
2035,11,3.4,anchorage
2035,12,4.0,anchorage
2035,13,4.5,anchorage
2035,14,4.9,anchorage
2035,15,5.9,anchorage
2035,16,7.4,anchorage
2035,17,9.2,anchorage
2035,18,10.3,anchorage
2035,19,10.8,anchorage
2035,20,11.0,anchorage
2035,21,10.6,anchorage
2035,22,9.9,anchorage
2035,23,8.6,anchorage
2035,0,4.8,kenai peninsula
2035,1,4.1,kenai peninsula
2035,2,3.6,kenai peninsula
2035,3,3.2,kenai peninsula
2035,4,2.8,kenai peninsula
2035,5,2.5,kenai peninsula
2035,6,2.3,kenai peninsula
2035,7,1.8,kenai peninsula
2035,8,1.5,kenai peninsula
2035,9,1.5,kenai peninsula
2035,10,1.6,kenai peninsula
2035,11,1.8,kenai peninsula
2035,12,2.2,kenai peninsula
2035,13,2.4,kenai peninsula
2035,14,2.6,kenai peninsula
2035,15,3.1,kenai peninsula
2035,16,3.8,kenai peninsula
2035,17,4.9,kenai peninsula
2035,18,5.8,kenai peninsula
2035,19,6.1,kenai peninsula
2035,20,6.5,kenai peninsula
2035,21,6.5,kenai peninsula
2035,22,6.0,kenai peninsula
2035,23,5.5,kenai peninsula
2035,0,15.6,kenai peninsula
2035,1,13.4,kenai peninsula
2035,2,11.5,kenai peninsula
2035,3,9.9,kenai peninsula
2035,4,8.6,kenai peninsula
2035,5,8.0,kenai peninsula
2035,6,7.6,kenai peninsula
2035,7,6.7,kenai peninsula
2035,8,5.9,kenai peninsula
2035,9,5.7,kenai peninsula
2035,10,6.2,kenai peninsula
2035,11,7.2,kenai peninsula
2035,12,8.5,kenai peninsula
2035,13,9.8,kenai peninsula
2035,14,10.3,kenai peninsula
2035,15,12.5,kenai peninsula
2035,16,15.5,kenai peninsula
2035,17,19.3,kenai peninsula
2035,18,21.6,kenai peninsula
2035,19,22.5,kenai peninsula
2035,20,22.8,kenai peninsula
2035,21,22.3,kenai peninsula
2035,22,20.7,kenai peninsula
2035,23,18.3,kenai peninsula
2035,0,1.2,kenai peninsula
2035,1,1.0,kenai peninsula
2035,2,0.9,kenai peninsula
2035,3,0.9,kenai peninsula
2035,4,0.8,kenai peninsula
2035,5,0.7,kenai peninsula
2035,6,0.7,kenai peninsula
2035,7,0.5,kenai peninsula
2035,8,0.5,kenai peninsula
2035,9,0.3,kenai peninsula
2035,10,0.5,kenai peninsula
2035,11,0.5,kenai peninsula
2035,12,0.6,kenai peninsula
2035,13,0.7,kenai peninsula
2035,14,0.7,kenai peninsula
2035,15,0.8,kenai peninsula
2035,16,1.0,kenai peninsula
2035,17,1.4,kenai peninsula
2035,18,1.6,kenai peninsula
2035,19,1.7,kenai peninsula
2035,20,1.8,kenai peninsula
2035,21,1.8,kenai peninsula
2035,22,1.6,kenai peninsula
2035,23,1.5,kenai peninsula
2035,0,7.3,kodiak island
2035,1,6.2,kodiak island
2035,2,5.5,kodiak island
2035,3,4.2,kodiak island
2035,4,3.0,kodiak island
2035,5,1.9,kodiak island
2035,6,1.0,kodiak island
2035,7,0.7,kodiak island
2035,8,0.6,kodiak island
2035,9,0.6,kodiak island
2035,10,0.7,kodiak island
2035,11,0.9,kodiak island
2035,12,1.1,kodiak island
2035,13,1.4,kodiak island
2035,14,1.5,kodiak island
2035,15,1.2,kodiak island
2035,16,0.8,kodiak island
2035,17,0.6,kodiak island
2035,18,0.6,kodiak island
2035,19,0.5,kodiak island
2035,20,1.6,kodiak island
2035,21,3.5,kodiak island
2035,22,5.5,kodiak island
2035,23,7.0,kodiak island
2035,0,11.2,kodiak island
2035,1,9.8,kodiak island
2035,2,8.5,kodiak island
2035,3,7.5,kodiak island
2035,4,6.7,kodiak island
