Year,Hour of Day,Avg. Demand,County
2024,21,2.5,lincoln
2024,22,2.3,lincoln
2024,23,2.0,lincoln
2024,0,1.9,flathead
2024,1,1.7,flathead
2024,2,1.5,flathead
2024,3,1.2,flathead
2024,4,1.1,flathead
2024,5,1.0,flathead
2024,6,0.9,flathead
2024,7,0.8,flathead
2024,8,0.7,flathead
2024,9,0.7,flathead
2024,10,0.7,flathead
2024,11,0.8,flathead
2024,12,0.9,flathead
2024,13,1.0,flathead
2024,14,1.1,flathead
2024,15,1.4,flathead
2024,16,1.7,flathead
2024,17,2.2,flathead
2024,18,2.6,flathead
2024,19,3.1,flathead
2024,20,3.2,flathead
2024,21,3.1,flathead
2024,22,2.7,flathead
2024,23,2.4,flathead
2024,0,2.5,stevens
2024,1,2.3,stevens
2024,2,1.9,stevens
2024,3,1.7,stevens
2024,4,1.6,stevens
2024,5,1.5,stevens
2024,6,1.2,stevens
2024,7,1.0,stevens
2024,8,0.9,stevens
2024,9,0.8,stevens
2024,10,0.9,stevens
2024,11,1.0,stevens
2024,12,1.1,stevens
2024,13,1.4,stevens
2024,14,1.5,stevens
2024,15,1.7,stevens
2024,16,2.2,stevens
2024,17,2.8,stevens
2024,18,3.3,stevens
2024,19,3.5,stevens
2024,20,3.8,stevens
2024,21,3.6,stevens
2024,22,3.4,stevens
2024,23,3.0,stevens
2024,0,1.4,lincoln
2024,1,1.1,lincoln
2024,2,1.0,lincoln
2024,3,0.9,lincoln
2024,4,0.8,lincoln
2024,5,0.8,lincoln
2024,6,0.7,lincoln
2024,7,0.6,lincoln
2024,8,0.5,lincoln
2024,9,0.5,lincoln
2024,10,0.5,lincoln
2024,11,0.6,lincoln
2024,12,0.7,lincoln
2024,13,0.7,lincoln
2024,14,0.8,lincoln
2024,15,0.9,lincoln
2024,16,1.1,lincoln
2024,17,1.5,lincoln
2024,18,1.8,lincoln
2024,19,1.9,lincoln
2024,20,1.9,lincoln
2024,21,1.9,lincoln
2024,22,1.8,lincoln
2024,23,1.6,lincoln
2024,0,1.9,boundary
2024,1,1.6,boundary
2024,2,1.5,boundary
2024,3,1.2,boundary
2024,4,1.1,boundary
2024,5,1.0,boundary
2024,6,0.9,boundary
2024,7,0.8,boundary
2024,8,0.7,boundary
2024,9,0.6,boundary
2024,10,0.7,boundary
2024,11,0.8,boundary
2024,12,0.9,boundary
2024,13,1.0,boundary
2024,14,1.1,boundary
2024,15,1.2,boundary
2024,16,1.6,boundary
2024,17,2.0,boundary
2024,18,2.5,boundary
2024,19,2.6,boundary
2024,20,2.7,boundary
2024,21,2.7,boundary
2024,22,2.5,boundary
2024,23,2.3,boundary
2024,0,1.5,grant
2024,1,1.4,grant
2024,2,1.1,grant
2024,3,1.0,grant
2024,4,0.9,grant
2024,5,0.9,grant
2024,6,0.8,grant
2024,7,0.6,grant
2024,8,0.6,grant
2024,9,0.5,grant
2024,10,0.6,grant
2024,11,0.6,grant
2024,12,0.7,grant
2024,13,0.8,grant
2024,14,0.9,grant
2024,15,1.0,grant
2024,16,1.2,grant
2024,17,1.7,grant
2024,18,1.9,grant
2024,19,2.2,grant
2024,20,2.2,grant
2024,21,2.2,grant
2024,22,2.0,grant
2024,23,1.8,grant
2024,0,4.2,spokane
2024,1,3.6,spokane
2024,2,3.2,spokane
2024,3,2.8,spokane
2024,4,2.6,spokane
2024,5,2.4,spokane
2024,6,2.0,spokane
2024,7,1.7,spokane
2024,8,1.4,spokane
2024,9,1.4,spokane
2024,10,1.5,spokane
2024,11,1.7,spokane
2024,12,1.9,spokane
2024,13,2.2,spokane
2024,14,2.4,spokane
2024,15,2.8,spokane
2024,16,3.5,spokane
2024,17,4.5,spokane
2024,18,5.3,spokane
2024,19,5.8,spokane
2024,20,6.0,spokane
2024,21,5.9,spokane
2024,22,5.5,spokane
2024,23,4.9,spokane
2024,0,1.6,spokane
2024,1,1.4,spokane
2024,2,1.2,spokane
2024,3,1.1,spokane
2024,4,1.0,spokane
2024,5,0.9,spokane
2024,6,0.8,spokane
2024,7,0.7,spokane
2024,8,0.6,spokane
2024,9,0.6,spokane
2024,10,0.6,spokane
2024,11,0.7,spokane
2024,12,0.8,spokane
2024,13,0.8,spokane
2024,14,0.9,spokane
2024,15,1.0,spokane
2024,16,1.4,spokane
2024,17,1.8,spokane
2024,18,2.0,spokane
2024,19,2.3,spokane
2024,20,2.3,spokane
2024,21,2.3,spokane
2024,22,2.2,spokane
2024,23,1.8,spokane
2024,0,1.8,kootenai
2024,1,1.6,kootenai
2024,2,1.4,kootenai
2024,3,1.2,kootenai
2024,4,1.1,kootenai
2024,5,1.0,kootenai
2024,6,0.9,kootenai
2024,7,0.8,kootenai
2024,8,0.7,kootenai
2024,9,0.6,kootenai
2024,10,0.7,kootenai
2024,11,0.8,kootenai
2024,12,0.9,kootenai
2024,13,1.0,kootenai
2024,14,1.1,kootenai
2024,15,1.2,kootenai
2024,16,1.6,kootenai
2024,17,2.0,kootenai
2024,18,2.4,kootenai
2024,19,2.6,kootenai
2024,20,2.7,kootenai
2024,21,2.6,kootenai
2024,22,2.5,kootenai
2024,23,2.2,kootenai
2024,0,2.0,spokane
2024,1,1.8,spokane
2024,2,1.6,spokane
2024,3,1.4,spokane
2024,4,1.2,spokane
2024,5,1.1,spokane
2024,6,1.0,spokane
2024,7,0.9,spokane
2024,8,0.8,spokane
2024,9,0.8,spokane
2024,10,0.8,spokane
2024,11,0.9,spokane
2024,12,1.0,spokane
2024,13,1.1,spokane
2024,14,1.2,spokane
2024,15,1.5,spokane
2024,16,1.9,spokane
2024,17,2.4,spokane
2024,18,2.8,spokane
2024,19,3.1,spokane
2024,20,3.2,spokane
2024,21,3.1,spokane
2024,22,2.8,spokane
2024,23,2.5,spokane
2024,0,2.4,spokane
2024,1,2.0,spokane
2024,2,1.8,spokane
2024,3,1.6,spokane
2024,4,1.5,spokane
2024,5,1.4,spokane
2024,6,1.1,spokane
2024,7,0.9,spokane
2024,8,0.8,spokane
2024,9,0.8,spokane
2024,10,0.8,spokane
2024,11,0.9,spokane
2024,12,1.1,spokane
2024,13,1.2,spokane
2024,14,1.4,spokane
2024,15,1.6,spokane
2024,16,2.0,spokane
2024,17,2.6,spokane
2024,18,3.1,spokane
2024,19,3.3,spokane
2024,20,3.4,spokane
2024,21,3.3,spokane
2024,22,3.1,spokane
2024,23,2.7,spokane
2024,0,3.4,minnehaha
2024,1,3.0,minnehaha
2024,2,2.6,minnehaha
2024,3,2.4,minnehaha
2024,4,2.2,minnehaha
2024,5,1.9,minnehaha
2024,6,1.7,minnehaha
2024,7,1.4,minnehaha
2024,8,1.1,minnehaha
2024,9,1.1,minnehaha
2024,10,1.2,minnehaha
2024,11,1.4,minnehaha
