Year,state,date,daily_kwh,state_sqr_mile,TotalStations
2025,FL,2025-01-01,92679871.2,65758.0,3332.0
2025,GA,2025-01-01,136168576.8,59425.0,1886.0
2025,HI,2025-01-01,687741.6,10932.0,364.0
2025,IA,2025-01-01,123826238.39999999,56273.0,361.0
2025,ID,2025-01-01,61865688.0,83569.0,207.0
2025,IL,2025-01-01,153459381.6,57914.0,1242.0
2025,IN,2025-01-01,144767553.6,36420.0,566.0
2025,KS,2025-01-01,106809523.2,82278.0,548.0
2025,KY,2025-01-01,140517456.0,40408.0,312.0
2025,LA,2025-01-01,69235968.0,52378.0,262.0
2025,MA,2025-01-01,25005475.2,10554.0,2976.0
2025,MD,2025-01-01,31788916.8,12406.0,1655.0
2025,ME,2025-01-01,31362453.6,35380.0,478.0
2025,MI,2025-01-01,15431287.2,96714.0,1446.0
2025,MN,2025-01-01,18921379.2,86936.0,777.0
2025,MO,2025-01-01,133309236.0,69707.0,1210.0
2025,MS,2025-01-01,115775851.2,48432.0,165.0
2025,MT,2025-01-01,37634582.4,147040.0,122.0
2025,NC,2025-01-01,89275761.6,53819.0,1531.0
2025,ND,2025-01-01,14719725.600000001,70698.0,94.0
2025,NE,2025-01-01,68906760.0,77348.0,254.0
2025,NH,2025-01-01,412142.39999999997,9351.0,252.0
2025,NJ,2025-01-01,6806011.2,8723.0,1263.0
2025,NM,2025-01-01,5392351.2,121590.0,291.0
2025,NV,2025-01-01,8163163.2,110572.0,571.0
2025,NY,2025-01-01,110456469.6,54555.0,3901.0
2025,OH,2025-01-01,144652670.4,44825.0,1575.0
2025,OK,2025-01-01,31343738.4,69899.0,349.0
2025,OR,2025-01-01,55622061.6,98379.0,1203.0
2025,PA,2025-01-01,104699349.6,46054.0,1684.0
2025,RI,2025-01-01,4291377.600000001,1545.0,316.0
2025,SC,2025-01-01,28855843.2,32020.0,546.0
2025,SD,2025-01-01,15473779.2,77116.0,92.0
2025,TN,2025-01-01,125955470.39999999,42144.0,901.0
2025,TX,2025-01-01,130911717.6,268596.0,3090.0
2025,UT,2025-01-01,9996376.8,84897.0,849.0
2025,VA,2025-01-01,78343171.2,42775.0,1506.0
2025,VT,2025-01-01,32818202.4,9616.0,379.0
2025,WA,2025-01-01,58349587.2,71298.0,2117.0
2025,WI,2025-01-01,56088744.0,65498.0,586.0
2025,WV,2025-01-01,57462912.0,24230.0,153.0
2025,WY,2025-01-01,2568600.0,97813.0,93.0
2026,AK,2026-01-01,243487.2,665384.0,64.0
2026,AL,2026-01-01,270255302.4,52420.0,422.0
2026,AR,2026-01-01,324630501.6,53179.0,329.0
2026,AZ,2026-01-01,6801321.6,113990.0,1183.0
2026,CA,2026-01-01,36273612.0,163695.0,15934.0
2026,CO,2026-01-01,105721377.60000001,104094.0,2107.0
2026,CT,2026-01-01,659464.8,5543.0,849.0
2026,DC,2026-01-01,6078900.0,,
2026,DE,2026-01-01,1679304.0,2489.0,191.0
2026,FL,2026-01-01,224621748.0,65758.0,3332.0
2026,GA,2026-01-01,330275928.0,59425.0,1886.0
2026,HI,2026-01-01,1577481.6,10932.0,364.0
2026,IA,2026-01-01,305090049.6,56273.0,361.0
2026,ID,2026-01-01,161594740.8,83569.0,207.0
2026,IL,2026-01-01,372670461.6,57914.0,1242.0
2026,IN,2026-01-01,352184808.0,36420.0,566.0
2026,KS,2026-01-01,265711788.0,82278.0,548.0
2026,KY,2026-01-01,341693116.8,40408.0,312.0
2026,LA,2026-01-01,182815550.4,52378.0,262.0
2026,MA,2026-01-01,66662431.2,10554.0,2976.0
2026,MD,2026-01-01,78695942.4,12406.0,1655.0
2026,ME,2026-01-01,83361134.4,35380.0,478.0
2026,MI,2026-01-01,41210654.4,96714.0,1446.0
2026,MN,2026-01-01,53914017.6,86936.0,777.0
2026,MO,2026-01-01,324525036.0,69707.0,1210.0
2026,MS,2026-01-01,289357706.4,48432.0,165.0
2026,MT,2026-01-01,95025993.60000001,147040.0,122.0
2026,NC,2026-01-01,220429022.4,53819.0,1531.0
2026,ND,2026-01-01,34283246.4,70698.0,94.0
2026,NE,2026-01-01,178310344.8,77348.0,254.0
2026,NH,2026-01-01,1057226.4,9351.0,252.0
2026,NJ,2026-01-01,16404223.2,8723.0,1263.0
2026,NM,2026-01-01,14519692.8,121590.0,291.0
2026,NV,2026-01-01,20569125.599999998,110572.0,571.0
2026,NY,2026-01-01,270988478.4,54555.0,3901.0
2026,OH,2026-01-01,350858172.0,44825.0,1575.0
2026,OK,2026-01-01,87393840.0,69899.0,349.0
2026,OR,2026-01-01,139464600.0,98379.0,1203.0
2026,PA,2026-01-01,261565137.6,46054.0,1684.0
2026,RI,2026-01-01,12478776.0,1545.0,316.0
2026,SC,2026-01-01,60454322.4,32020.0,546.0
2026,SD,2026-01-01,44854504.8,77116.0,92.0
2026,TN,2026-01-01,310527482.4,42144.0,901.0
2026,TX,2026-01-01,310949512.8,268596.0,3090.0
2026,UT,2026-01-01,25357994.400000002,84897.0,849.0
2026,VA,2026-01-01,192055864.8,42775.0,1506.0
2026,VT,2026-01-01,82823930.4,9616.0,379.0
2026,WA,2026-01-01,153667341.6,71298.0,2117.0
2026,WI,2026-01-01,144812145.6,65498.0,586.0
2026,WV,2026-01-01,137136321.6,24230.0,153.0
2026,WY,2026-01-01,6567225.600000001,97813.0,93.0
2027,AK,2027-01-01,575952.0,665384.0,64.0
2027,AL,2027-01-01,586211294.4,52420.0,422.0
2027,AR,2027-01-01,690814005.6,53179.0,329.0
2027,AZ,2027-01-01,13169541.6,113990.0,1183.0
2027,CA,2027-01-01,73418940.0,163695.0,15934.0
2027,CO,2027-01-01,248996001.6,104094.0,2107.0
2027,CT,2027-01-01,1138766.4000000001,5543.0,849.0
2027,DC,2027-01-01,9827438.4,,
2027,DE,2027-01-01,2849995.2,2489.0,191.0
2027,FL,2027-01-01,500483282.4,65758.0,3332.0
2027,GA,2027-01-01,708988377.6,59425.0,1886.0
2027,HI,2027-01-01,2696179.2,10932.0,364.0
2027,IA,2027-01-01,658406056.8,56273.0,361.0
2027,ID,2027-01-01,365462666.4,83569.0,207.0
2027,IL,2027-01-01,799292587.2,57914.0,1242.0
2027,IN,2027-01-01,747236229.6,36420.0,566.0
2027,KS,2027-01-01,582734210.4,82278.0,548.0
2027,KY,2027-01-01,736577227.2,40408.0,312.0
2027,LA,2027-01-01,402430792.8,52378.0,262.0
2027,MA,2027-01-01,141353032.8,10554.0,2976.0
2027,MD,2027-01-01,170701264.8,12406.0,1655.0
2027,ME,2027-01-01,189604704.0,35380.0,478.0
2027,MI,2027-01-01,91263777.60000001,96714.0,1446.0
2027,MN,2027-01-01,135844370.4,86936.0,777.0
2027,MO,2027-01-01,717915703.2,69707.0,1210.0
2027,MS,2027-01-01,624990890.4,48432.0,165.0
2027,MT,2027-01-01,206099731.2,147040.0,122.0
2027,NC,2027-01-01,478822089.6,53819.0,1531.0
2027,ND,2027-01-01,73025013.6,70698.0,94.0
2027,NE,2027-01-01,407915366.4,77348.0,254.0
2027,NH,2027-01-01,2228906.4,9351.0,252.0
2027,NJ,2027-01-01,44301007.2,8723.0,1263.0
2027,NM,2027-01-01,25821276.0,121590.0,291.0
2027,NV,2027-01-01,48150254.4,110572.0,571.0
2027,NY,2027-01-01,577626727.2,54555.0,3901.0
2027,OH,2027-01-01,751523472.0,44825.0,1575.0
2027,OK,2027-01-01,206117577.6,69899.0,349.0
2027,OR,2027-01-01,318948758.4,98379.0,1203.0
2027,PA,2027-01-01,566288690.4,46054.0,1684.0
2027,RI,2027-01-01,36154680.0,1545.0,316.0
2027,SC,2027-01-01,112160536.8,32020.0,546.0
2027,SD,2027-01-01,103521487.2,77116.0,92.0
2027,TN,2027-01-01,676235030.4,42144.0,901.0
2027,TX,2027-01-01,666066748.8,268596.0,3090.0
2027,UT,2027-01-01,63310728.0,84897.0,849.0
2027,VA,2027-01-01,409432375.2,42775.0,1506.0
2027,VT,2027-01-01,187559505.6,9616.0,379.0
2027,WA,2027-01-01,335724172.8,71298.0,2117.0
2027,WI,2027-01-01,325429797.6,65498.0,586.0
2027,WV,2027-01-01,306667874.4,24230.0,153.0
2027,WY,2027-01-01,13918144.799999999,97813.0,93.0
2028,AK,2028-01-01,888840.0,665384.0,64.0
2028,AL,2028-01-01,1011558319.1999999,52420.0,422.0
2028,AR,2028-01-01,1170902404.8,53179.0,329.0
2028,AZ,2028-01-01,19568119.2,113990.0,1183.0
2028,CA,2028-01-01,111107052.0,163695.0,15934.0
2028,CO,2028-01-01,456225818.4,104094.0,2107.0
2028,CT,2028-01-01,1866782.4000000001,5543.0,849.0
2028,DC,2028-01-01,14145921.6,,
2028,DE,2028-01-01,4276891.2,2489.0,191.0
2028,FL,2028-01-01,857466057.6,65758.0,3332.0
2028,GA,2028-01-01,1199666268.0,59425.0,1886.0
2028,HI,2028-01-01,3905704.8,10932.0,364.0
2028,IA,2028-01-01,1124512072.8,56273.0,361.0
2028,ID,2028-01-01,645068836.8,83569.0,207.0
2028,IL,2028-01-01,1333608463.2,57914.0,1242.0
2028,IN,2028-01-01,1257807112.8,36420.0,566.0
2028,KS,2028-01-01,1003041777.6,82278.0,548.0
2028,KY,2028-01-01,1241116524.0,40408.0,312.0
2028,LA,2028-01-01,700098928.8,52378.0,262.0
2028,MA,2028-01-01,230026207.2,10554.0,2976.0
2028,MD,2028-01-01,286127764.8,12406.0,1655.0
2028,ME,2028-01-01,312109485.6,35380.0,478.0
2028,MI,2028-01-01,140780601.6,96714.0,1446.0
2028,MN,2028-01-01,219873967.2,86936.0,777.0
2028,MO,2028-01-01,1212879609.6,69707.0,1210.0
2028,MS,2028-01-01,1071222367.2,48432.0,165.0
2028,MT,2028-01-01,378471400.8,147040.0,122.0
2028,NC,2028-01-01,772483188.0,53819.0,1531.0
2028,ND,2028-01-01,107782636.8,70698.0,94.0
2028,NE,2028-01-01,709569328.8,77348.0,254.0
2028,NH,2028-01-01,4115320.8,9351.0,252.0
2028,NJ,2028-01-01,69353899.2,8723.0,1263.0
2028,NM,2028-01-01,40865356.8,121590.0,291.0
2028,NV,2028-01-01,74265746.4,110572.0,571.0
2028,NY,2028-01-01,987690981.6,54555.0,3901.0
2028,OH,2028-01-01,1258241700.0,44825.0,1575.0
2028,OK,2028-01-01,390520447.2,69899.0,349.0
2028,OR,2028-01-01,569065752.0,98379.0,1203.0
2028,PA,2028-01-01,970136042.4,46054.0,1684.0
2028,RI,2028-01-01,62229071.99999999,1545.0,316.0
2028,SC,2028-01-01,174520303.2,32020.0,546.0
2028,SD,2028-01-01,161777133.6,77116.0,92.0
2028,TN,2028-01-01,1149953294.4,42144.0,901.0
2028,TX,2028-01-01,1130769676.8,268596.0,3090.0
2028,UT,2028-01-01,103288106.39999999,84897.0,849.0
2028,VA,2028-01-01,666562548.0,42775.0,1506.0
2028,VT,2028-01-01,306980916.0,9616.0,379.0
2028,WA,2028-01-01,593999748.0,71298.0,2117.0
2028,WI,2028-01-01,566371970.4,65498.0,586.0
2028,WV,2028-01-01,544026672.0,24230.0,153.0
2028,WY,2028-01-01,22308679.2,97813.0,93.0
2029,AK,2029-01-01,1349037.5999999999,665384.0,64.0
2029,AL,2029-01-01,1457450601.6,52420.0,422.0
2029,AR,2029-01-01,1682727232.8,53179.0,329.0
2029,AZ,2029-01-01,27071330.4,113990.0,1183.0
2029,CA,2029-01-01,154364769.6,163695.0,15934.0
2029,CO,2029-01-01,673849833.6,104094.0,2107.0
2029,CT,2029-01-01,3182750.4,5543.0,849.0
2029,DC,2029-01-01,19053542.4,,
2029,DE,2029-01-01,6505334.4,2489.0,191.0
2029,FL,2029-01-01,1255945826.4,65758.0,3332.0
2029,GA,2029-01-01,1727041468.8,59425.0,1886.0
2029,HI,2029-01-01,6237794.4,10932.0,364.0
2029,IA,2029-01-01,1624122441.6,56273.0,361.0
2029,ID,2029-01-01,949134837.6,83569.0,207.0
2029,IL,2029-01-01,1913250463.2,57914.0,1242.0
2029,IN,2029-01-01,1806409992.0,36420.0,566.0
2029,KS,2029-01-01,1451909932.8,82278.0,548.0
2029,KY,2029-01-01,1783500312.0,40408.0,312.0
2029,LA,2029-01-01,1031715004.8000001,52378.0,262.0
2029,MA,2029-01-01,341710346.4,10554.0,2976.0
2029,MD,2029-01-01,393587320.8,12406.0,1655.0
2029,ME,2029-01-01,470344360.8,35380.0,478.0
2029,MI,2029-01-01,208176187.2,96714.0,1446.0
2029,MN,2029-01-01,327974006.4,86936.0,777.0
2029,MO,2029-01-01,1750582528.8,69707.0,1210.0
2029,MS,2029-01-01,1550738368.8,48432.0,165.0
2029,MT,2029-01-01,545681913.6,147040.0,122.0
2029,NC,2029-01-01,1109988849.6,53819.0,1531.0
2029,ND,2029-01-01,151522461.6,70698.0,94.0
2029,NE,2029-01-01,1051937618.4,77348.0,254.0
2029,NH,2029-01-01,6191846.399999999,9351.0,252.0
2029,NJ,2029-01-01,93414285.6,8723.0,1263.0
2029,NM,2029-01-01,58598416.8,121590.0,291.0
2029,NV,2029-01-01,110788886.39999999,110572.0,571.0
2029,NY,2029-01-01,1409945563.2,54555.0,3901.0
2029,OH,2029-01-01,1800821613.6,44825.0,1575.0
2029,OK,2029-01-01,579075746.4,69899.0,349.0
2029,OR,2029-01-01,836406396.0,98379.0,1203.0
2029,PA,2029-01-01,1383142065.6,46054.0,1684.0
2029,RI,2029-01-01,97540372.8,1545.0,316.0
2029,SC,2029-01-01,256493460.0,32020.0,546.0
2029,SD,2029-01-01,237320700.0,77116.0,92.0
2029,TN,2029-01-01,1657827352.8,42144.0,901.0
2029,TX,2029-01-01,1627741989.6,268596.0,3090.0
2029,UT,2029-01-01,161675781.6,84897.0,849.0
2029,VA,2029-01-01,946638108.0,42775.0,1506.0
2029,VT,2029-01-01,461089519.2,9616.0,379.0
2029,WA,2029-01-01,874157913.6,71298.0,2117.0
2029,WI,2029-01-01,832064270.4,65498.0,586.0
2029,WV,2029-01-01,796874200.8000001,24230.0,153.0
2029,WY,2029-01-01,33670473.6,97813.0,93.0
2030,AK,2030-01-01,1725609.6,665384.0,64.0
2030,AL,2030-01-01,2002662904.8,52420.0,422.0
2030,AR,2030-01-01,2326523796.0,53179.0,329.0
2030,AZ,2030-01-01,35701396.800000004,113990.0,1183.0
2030,CA,2030-01-01,203205768.0,163695.0,15934.0
2030,CO,2030-01-01,988726749.6,104094.0,2107.0
2030,CT,2030-01-01,4589983.2,5543.0,849.0
2030,DC,2030-01-01,24564117.599999998,,
2030,DE,2030-01-01,9264914.4,2489.0,191.0
2030,FL,2030-01-01,1746622600.8,65758.0,3332.0
2030,GA,2030-01-01,2376134268.0,59425.0,1886.0
2030,HI,2030-01-01,8345812.8,10932.0,364.0
2030,IA,2030-01-01,2235510991.2,56273.0,361.0
2030,ID,2030-01-01,1336580733.6,83569.0,207.0
2030,IL,2030-01-01,2626010750.4,57914.0,1242.0
2030,IN,2030-01-01,2487016312.8,36420.0,566.0
2030,KS,2030-01-01,1997955444.0,82278.0,548.0
2030,KY,2030-01-01,2460253747.2,40408.0,312.0
2030,LA,2030-01-01,1445025957.6,52378.0,262.0
2030,MA,2030-01-01,433862455.2,10554.0,2976.0
2030,MD,2030-01-01,529898692.8,12406.0,1655.0
2030,ME,2030-01-01,619908422.4,35380.0,478.0
2030,MI,2030-01-01,293197327.2,96714.0,1446.0
2030,MN,2030-01-01,469347165.6,86936.0,777.0
2030,MO,2030-01-01,2422032679.2,69707.0,1210.0
2030,MS,2030-01-01,2135204817.6,48432.0,165.0
2030,MT,2030-01-01,792124591.1999999,147040.0,122.0
2030,NC,2030-01-01,1482201004.8,53819.0,1531.0
2030,ND,2030-01-01,203531260.8,70698.0,94.0
2030,NE,2030-01-01,1474322160.0,77348.0,254.0
2030,NH,2030-01-01,8332149.600000001,9351.0,252.0
2030,NJ,2030-01-01,127739743.2,8723.0,1263.0
2030,NM,2030-01-01,82747600.8,121590.0,291.0
2030,NV,2030-01-01,161358796.79999998,110572.0,571.0
2030,NY,2030-01-01,1935665606.4,54555.0,3901.0
2030,OH,2030-01-01,2477036632.8,44825.0,1575.0
2030,OK,2030-01-01,863081217.6,69899.0,349.0
2030,OR,2030-01-01,1205535547.2,98379.0,1203.0
2030,PA,2030-01-01,1900001956.8,46054.0,1684.0
2030,RI,2030-01-01,146746012.8,1545.0,316.0
2030,SC,2030-01-01,336920683.2,32020.0,546.0
